frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
D,8934848020A1,後側中央倒車雷達感知器固定座,3,,,,,,TG0,
D,2227136040,節汽閥體墊片,3,,,,,,TG0,
G,9038523002,左後鋼板吊耳下軸套,2,Y,,,,,TG0,
A,7323002110A0,座內側安全帶總成,3,,,,,,KG0,H805
A,1626875112,冷卻液旁通管,3,,,,,,TG0,
A,5341042120,引擎蓋右鉸鏈,2,,,,,,TG0,
A,81440BZ060,日行燈總成,3,,,,,,KG0,Z008
A,81670BZ040,倒車燈,3,,,,,,KG0,Z008
A,5212806510,左前保險桿孔蓋,3,,,,,,KG0,J004
C,86790F1080,攝影機總成,3,,,,,,KG0,E011
A,8191006050,右反光器總成,3,,,,,,KG0,D401
D,7596578010,黑絕緣貼膠,3,,,,,,TG0,
A,6881042101,車門鉸鏈,2,Y,,,,,TG0,
A,537140D110,左前葉子板護裙接片,2,Y,,,,,KG0,B601
A,6162202320,左行李廂開口槽板,2,,,,,,KG0,K001
A,4504609720,橫拉桿端頭次總成,3,,,,,,KG0,K001
C,446525090,,3,,,,,,HG0,
A,7691728080,右後葉子板擋泥板,3,,,,,,TG0,
A,G927512010,電池注意事項標籤,2,Y,,,,,TG0,
A,4868402040,避震器上座防塵蓋,2,Y,,,,,KG0,T023
C,SZ20916014,墊圈,2,Y,,,,,HG0,
A,8282460460,配線接頭,2,Y,,,,,TG0,Z006
A,5833202180,支架,2,Y,,,,,KG0,L203
A,9031134044,油封,2,Y,,,,,TG0,
A,9094202082,螺栓,2,Y,,,,,TG0,
A,9031189010,引擎後油封,2,Y,,,,,TG0,
C,9038906055,離合器踏板支架襯套,2,Y,,,,,HG0,
A,9033335004,隔音板,2,Y,,,,,TG0,
A,274160W050,發電機外罩,2,Y,,,,,TG0,T015
A,9030124013,O形環,2,Y,,,,,TG0,
D,7778512010,燃油泵配線,2,Y,,,,,TG0,
A,9613441900,通風管束夾,2,Y,,,,,TG0,J004
C,S163251400,節溫器外殼墊片,2,Y,,,,,HG0,
A,4773002460,右碟煞分泵總成,2,,,,,,KG0,T024
A,4243112310,後煞車碟盤,3,,,,,,TG0,
A,525910D300,後保險桿右密封板,3,,,,,,PG1,TAM
D,5244878010,墊塊,3,,,,,,TG0,
6,C51LJ42F55,右前護套,3,,,,,,NI2,
A,4355033070,輪轂軸承次總成,3,,,,,,TG0,
A,682940K060,玻璃防水膠條,3,,,,,,KG0,T009
D,6784178010,門維修孔蓋,3,,,,,,TG0,
A,556060A020,儀表板下蓋次總成,3,,,,,,KG0,F601
A,768250A030,牌照燈飾板護條,3,,,,,,KG0,S913
A,163210H020,引擎進水口,3,,,,,,KG0,L203
A,480690M040,左前下懸吊臂,2,,,,,,KG0,H803
A,1237128240,後引擎腳,3,,,,,,TG0,
A,5342002060,引擎蓋左鉸鏈,2,,,,,,KG0,B601
A,4526028190,轉向中間軸總成,3,,,,,,TG0,
V,C18CAESJ01B,自動收鏡系統,3,,,,,,NI2,
D,8221230100,空調線組,3,,,,,,TG0,
C,SZ92034347,冷卻水軟管,3,,,,,,HG0,
A,852420D050,雨刷片,3,,,,,,KG0,K001
D,5874153030,右後葉子板透明保護片,3,,,,,,TG0,
D,6783178010,門維修孔蓋,3,,,,,,TG0,
D,5256578020,右下後保險桿固定座,3,,,,,,TG0,
A,52127YP120,右霧燈蓋,3,,,,,,PG1,
A,8192013022,左反光器總成,3,,,,,,TG0,
A,525670D030,保險桿側固定座,3,,,,,,KG0,T023
A,5212706510,保險桿孔蓋,3,,,,,,KG0,J004
A,8192006040,左反光器總成,3,,,,,,KG0,D401
A,686100D161,前門限位器總成,3,,,,,,KG0,E502
A,537130D110,右前葉子板護裙接片,2,Y,,,,,KG0,B601
A,8989233020,電瓶電壓感知器,3,,,,,,TG0,
A,755710M010,尾門玻璃框條,3,,,,,,KG0,T009
A,8630047180,放大器天線總成,3,,,,,,TG0,
D,7570748030,右後門窗前框條,3,,,,,,TG0,
A,4504629515,橫拉桿端頭次總成,3,,,,,,TG0,
A,5351042120,引擎蓋鎖總成,3,,,,,,TG0,
A,4504749025,橫拉桿端頭次總成,3,,,,,,TG0,
D,7557376020,外側尾門窗飾條,3,,,,,,TG0,
A,1632136010,引擎進水口,3,,,,,,TG0,
A,5257612230,後保險桿左側固定座,3,,,,,,TG0,
A,9046708235,管夾,2,Y,,,,,TG0,J004
A,521560D070,後保險桿左支架,3,,,,,,KG0,T023
A,482570D031,後圈狀彈簧上膠墊,3,,,,,,KG0,Y501
A,122040C010,PCV曲軸箱通風閥,2,Y,,,,,PG1,TAM
A,9004521188,軸轂扣環,2,Y,,,,,TG0,
A,9011606172,螺栓,2,Y,,,,,KG0,F601
G,9003105107,螺栓,2,Y,,,,,TG0,
A,853810D040,噴水頭,2,Y,,,,,KG0,T015
D,7586733050,飾條夾座,2,Y,,,,,TG0,
C,S171041490,排氣歧管墊片,2,Y,,,,,HG0,
D,1647528140,副水箱總成蓋,2,Y,,,,,TG0,
A,648190M010,後擋風玻璃墊片,2,Y,,,,,KG0,L202
A,6783748050,蓋板,2,Y,,,,,TG0,
A,8872397502,冷氣維修標籤,2,Y,,,,,TG0,
A,9015960496,螺栓,2,Y,,,,,TG0,
A,89341BZ490D0,車距感知器,2,Y,,,,,PG1,TAM
D,1115931010,墊片,2,Y,,,,,TG0,
G,8934878020,車距感知器固定扣鈕,2,Y,,,,,TG0,
A,53384BZ020,引擎蓋中間襯墊,2,Y,,,,,PG1,TAM
A,648190K040,玻璃護墊,2,Y,,,,,KG0,T018
G,3125037171,離合器片,3,,,,,,TG0,
A,4351206111,前煞車碟盤,2,,,,,,KG0,L203
A,270600H031,發電機總成,2,,,,,,KG0,T015
A,1780154140,空氣芯,3,,,,,,KG0,T015
A,9097502138,車身徽飾,3,,,,,,TG0,
A,87910BZX40,後視鏡總成,3,,,,,,KG0,J002
A,81560BZ790,組合燈總成,3,,,,,,KG0,D401
A,75926BZ190C0,黑絕緣貼膠,3,,,,,,KG0,T017
A,1236211180,右引擎腳,2,,,,,,KG0,Y501
A,044950K040,後煞車蹄片修理包,3,,,,,,PG1,TAM
A,6783242031,門維修孔蓋,3,,,,,,TG0,
A,8174006021,車幅方向燈,3,,,,,,KG0,J002
A,6325148050,天窗防水膠條,3,,,,,,TG0,
A,852120C012,雨刷片,3,,,,,,TG0,
A,1230528301,引擎腳墊,2,,,,,,TG0,
A,1237228390,左引擎腳,2,,,,,,TG0,
C,3890137131C0,操縱桿,3,,,,,,HG0,
A,1237228220,左引擎腳,2,,,,,,TG0,
6,C40F1HN955,門鎖馬達,3,,,,,,NI2,
N,PZ06142752,前停車雷達眼(含防干擾銅罩)-黑色,3,,,,,,NI2,NI54
D,1610039565,水泵總成,3,,,,,,TG0,
A,5203042060,保險桿孔蓋,3,,,,,,TG0,
A,815700D180,第三煞車燈總成,3,,,,,,KG0,D401
N,P74030D009,後輪拱-後半段(左),3,,,,,,NI2,
N,AWB05,開口鋁圈鉛塊,3,,,,,,NIR,
A,9091901223,火星塞,2,Y,,,,,DG0,
A,520300M010,右前保險桿孔蓋總成,3,,,,,,KG0,F601
A,5872342010,護板,3,,,,,,TG0,
A,165710C090,水箱總成進水管,3,,,,,,PG1,TAM
A,757560D110,左前門窗後框條,3,,,,,,KG0,J004
A,8721102670,空氣導管,3,,,,,,KG0,T015
A,3516852020,自排變速箱油盆墊片,3,,,,,,TG0,
A,5215642010,後保險桿左支架,3,,,,,,TG0,
A,755730M010,外側尾門窗飾條,3,,,,,,KG0,T009
A,601170D260,柱上蓋,3,,,,,,KG0,S913
A,682940K050,尾門玻璃防水膠條,3,,,,,,KG0,T009
A,682940K100,尾門玻璃防水膠條,3,,,,,,KG0,T009
A,2227122040,節汽閥體墊片,3,,,,,,TG0,
A,6861002051,前車門限位器，右,3,,,,,,KG0,E502
A,629400D070,葉子板通風導管總成,3,,,,,,KG0,J004
A,177530T100,空氣濾清器進氣導管,3,,,,,,PG1,
A,52155BZ060,後保險桿右支架,3,,,,,,PG1,TAM
A,487500D070,後避震器上座,3,,,,,,KG0,Y501
A,77350K1010,油箱加油口外蓋,2,,,,,,KG0,S920
A,1657706010,水箱總成水管三通管,2,,,,,,KG0,S909
A,8511012C30,前擋風玻璃雨刷馬達總成,3,,,,,,TG0,
C,81480F1020,後霧燈總成,3,,,,,,KG0,D401
A,8121048051,霧燈總成,3,,,,,,TG0,
D,446630312,,3,,,,,,TG0,
A,7592242040,黑絕緣貼膠,3,,,,,,TG0,
N,RF1D6,補漆筆(星鑽銀),3,,,,,,NIL,
A,682940K040,尾門玻璃防水膠條,3,,,,,,KG0,T009
A,5242133010,前保險桿飾板,2,Y,,,,,TG0,
D,7597733050,右前黑絕緣貼膠,3,,,,,,TG0,
A,537140D190,左前葉子板護裙接片,2,Y,,,,,KG0,L206
A,571130D060,右前側樑延伸板,2,,,,,,KG0,S920
D,5578333130,車頸減音墊,3,,,,,,TG0,
A,4.47E+14,,3,,,,,,TG0,
C,0447B37010,後煞車鉗制缸修理包,3,,,,,,HG0,
A,757920D010,車窗框條夾座,2,Y,,,,,KG0,K001
A,7682742050,固定座,2,Y,,,,,TG0,
A,6462133030,行李箱衝擊片,2,Y,,,,,TG0,
D,7595333010,右後黑絕緣貼膠,3,,,,,,TG0,
A,G191732010,O型環,2,Y,,,,,TG0,
D,9097502109,車身徽飾,3,,,,,,TG0,
A,7682542020,牌照燈飾板護條,2,Y,,,,,TG0,
A,6943052050,尾門鎖鎖座,3,,,,,,TG0,
G,3891437010,控制閥管,2,Y,,,,,TG0,
D,4776950010,碟煞式煞車分泵滑動襯套,3,,,,,,TG0,
A,9011908636,螺栓,2,Y,,,,,TG0,
A,648180M010,擋風玻璃墊片,2,Y,,,,,KG0,L202
C,SZ30159006,O型環,2,Y,,,,,HG0,
A,692420D140,門外把手襯墊,2,Y,,,,,PG1,TAM
A,7682642140,固定座,2,Y,,,,,TG0,
A,8537112040,固定夾,2,Y,,,,,TG0,T015
A,112980T480,廢氣控制標示牌,2,Y,,,,,KG0,T017
A,9021005008,搖臂室蓋墊圈,3,,,,,,TG0,
A,9010512407,螺栓,2,Y,,,,,TG0,
A,8153842200,綜合燈墊片,2,Y,,,,,TG0,
D,8.87E+155,,2,Y,,,,,TG0,
A,9090105026,螺栓,2,Y,,,,,TG0,
C,SZ30126012,O型環,2,Y,,,,,HG0,
C,S273701370,發電機碳刷支架,2,Y,,,,,HG0,
A,1128511020,冷卻標示牌,2,Y,,,,,TG0,
A,6781133040,車門消音墊,2,Y,,,,,TG0,
A,8537510260,噴水管接頭,2,Y,,,,,KG0,T015
C,S853531020,噴水管接頭,2,Y,,,,,HG0,
A,52165BZ190,右上後保險桿,2,Y,,,,,PG1,TAM
A,7554751021,飾條固定扣,2,Y,,,,,TG0,
D,9018906065,墊圈,2,Y,,,,,TG0,
A,7579742040,後門護條上襯墊,2,Y,,,,,TG0,
A,6766442020,門框飾板,2,Y,,,,,TG0,
A,7544133151,後車廠銘牌墊,2,Y,,,,,TG0,
A,648180K050,玻璃護墊,2,Y,,,,,KG0,T018
G,3121037180,離合器壓板,2,,,,,,TG0,
D,8121078020,霧燈總成,3,,,,,,TG0,
N,PZ0600K754,左霧燈,3,,,,,,NI2,NI57
A,7544306141,尾門銘牌,2,Y,,,,,PG1,
A,754710D041,後車級銘牌,2,Y,,,,,PG1,
N,4853002J8083,後避震器，右,3,,,,,,NP2,
N,4854002J8083,後避震器，左,3,,,,,,NP2,
O,C5BD90AL54R,COROLLA CROSS 車輛資訊盒(售服專賣),3,,,,,,NI2,
A,4513016460C0,含安全氣囊喇叭按鈕總成,3,,,,,,TG0,
A,5212602450,左霧燈固定支架,3,,,,,,KG0,F601
A,5257533130,後保險桿右側固定座,3,,,,,,TG0,
A,8521233340,雨刷片,3,,,,,,TG0,
D,7595348060,右後黑絕緣貼膠,3,,,,,,TG0,
A,572010D051,側樑延伸件次總成,2,,,,,,KG0,H803
A,7.43E+09,,3,,,,,,KG0,S912
A,759240D360,左黑絕緣貼膠,3,,,,,,KG0,T017
A,8122048051,霧燈總成,3,,,,,,TG0,
A,161A029015,水泵總成,3,,,,,,TG0,
A,9044607001,噴水管,3,,,,,,TG0,T015
A,165720C080,水箱總成軟管,3,,,,,,PG1,TAM
A,690230B010,門外把手,3,,,,,,PG1,
D,9046707211,夾扣,2,Y,,,,,TG0,
A,5872442010,護板,3,,,,,,TG0,
A,85316F4090,前擋噴水筒蓋,3,,,,,,TG0,TME
A,8122012240,霧燈總成,3,,,,,,TG0,
A,5611702190,擋風玻璃防水膠條,3,,,,,,PG1,
A,531210D190,右水箱總成護罩飾條,3,,,,,,KG0,F601
A,521980D030,保險桿密封支架,2,Y,,,,,KG0,T023
A,8169002093,牌照燈總成,3,,,,,,KG0,J002
A,5389642110,左前擋泥板,3,,,,,,TG0,
D,6294012180,葉子板通風導管總成,3,,,,,,TG0,
A,8710652080,調節空氣混合伺服器次總成,3,,,,,,KG0,T015
A,165710V160,水箱總成進水管,3,,,,,,KG0,T009
D,5256378010,固定座,3,,,,,,TG0,
A,1717631130,進氣穩壓筒墊圈,3,,,,,,TG0,
A,4882033090,平衡桿連桿總成,3,,,,,,TG0,
D,5246176020,保險桿襯墊,2,Y,,,,,TG0,
A,122610C010,通風軟管,3,,,,,,PG1,TAM
D,7736035040,彈簧總成,2,Y,,,,,TG0,
G,6829426030,玻璃防水膠條,2,Y,,,,,TG0,
A,112980T690,廢氣控制標示牌,2,Y,,,,,KG0,T017
A,9613642501,水管束夾,2,Y,,,,,TG0,
A,6011842031,左前柱上蓋,3,,,,,,TG0,
A,6766342020,門框飾板,2,Y,,,,,TG0,
A,676640D030,門框飾板,2,Y,,,,,KG0,S913
C,S171041990,排氣歧管墊片,2,Y,,,,,HG0,
A,6462106080,行李箱衝擊片,3,,,,,,PG1,
C,1.63E+44,,2,Y,,,,,HG0,
A,5214716080,保險桿支架,2,Y,,,,,TG0,
A,9046719003,通風管束夾,2,Y,,,,,TG0,J004
A,1220421011,PCV曲軸箱通風閥,2,Y,,,,,TG0,
C,9098209021,保險絲,2,Y,,,,,HG0,
D,7544176030,尾門銘牌,2,Y,,,,,TG0,
A,9021005006,密封墊圈,3,,,,,,KG0,F601
A,1662028090,張緊器總成,3,,,,,,TG0,
A,88561BZC00,空氣入口格網,3,,,,,,KG0,J004
V,BT001,防水布膠,3,,,,,,NCC,
A,483040D240,座次總成,3,,,,,,PG1,
D,5210648020,後保險桿右彎角,3,,,,,,TG0,
N,DAP5600,五吋圓砂紙,3,,,,,,NU2,
A,4785012260,左後煞車分泵,3,,,,,,TG0,
D,8794078431,後視鏡總成,3,,,,,,TG0,
A,8148202230,左霧燈蓋,3,,,,,,KG0,S913
A,6783142081,門維修孔蓋,3,,,,,,TG0,
A,521690K010,後保險桿支架,3,,,,,,PG1,TAM
A,90947T2068,左後煞車撓性軟管,3,,,,,,KG0,T009
D,7597748070,黑絕緣貼膠,3,,,,,,TG0,
A,90947T2067,後煞車軟管,3,,,,,,KG0,T009
A,90947T2071,煞車撓性軟管,3,,,,,,KG0,T009
A,532080D180,引擎蓋鎖支架,2,,,,,,KG0,S920
A,534100D540,引擎蓋右鉸鏈,2,,,,,,KG0,B601
A,534100M030,引擎蓋右鉸鏈,2,,,,,,KG0,B601
A,5320202914,右水箱總成支架,2,,,,,,KG0,K001
A,4504702010,橫拉桿端頭次總成,2,,,,,,PG1,
A,81550BZ510,右後組合燈總成,3,,,,,,KG0,Z008
N,P76341200W,FR CAMERA SET,3,,,,,,NI2,
A,1610028041,水泵總成,3,,,,,,TG0,
A,8127016251,牌照燈總成,3,,,,,,KG0,J002
A,4355033050,輪轂軸承次總成,3,,,,,,TG0,
N,9.91E+11,,3,,,,,,NH0,
A,1354022022,鏈條張緊器,3,,,,,,TG0,
A,161A039035,水泵總成,3,,,,,,TG0,
A,1657206040,水箱總成出水管,3,,,,,,KG0,T009
A,1657222150,水箱總成軟管,3,,,,,,TG0,
D,8794548080A0,視鏡外殼,3,,,,,,TG0,
A,525330K010,前保險桿支架,3,,,,,,PG1,TAM
D,6784176030,門維修孔蓋,3,,,,,,TG0,
A,8216902030,配線,3,,,,,,KG0,T002
A,532870D250,水箱總成右支架延伸片,3,,,,,,KG0,J004
A,811350M050,頭燈背蓋,3,,,,,,KG0,D401
A,5389542120,右前擋泥板,3,,,,,,TG0,
A,757620D090,左前後門窗框飾條,3,,,,,,KG0,J004
A,524620D030,保險桿墊塊,2,Y,,,,,KG0,H807
A,863000A020,車頂天線總成,3,,,,,,PG1,TMV
A,534200D540,引擎蓋樞鈕，左,2,,,,,,KG0,B601
A,6169702200,右後葉子板尾端板,2,,,,,,KG0,K001
C,3890237172,支架,2,,,,,,HG0,
A,8946742170,空燃比感知器,3,,,,,,TG0,
A,8174002060,車幅方向燈，左,3,,,,,,KG0,J002
N,601R12V24V,601 12/24V 紅 LED 通用型,3,,,,,,NH0,
D,5314153031,徽飾總成,3,,,,,,TG0,
A,165710M080,水箱總成進水管,3,,,,,,PG1,
A,90947T2072,煞車撓性軟管,3,,,,,,KG0,T009
D,7576133110,右前後門窗框飾板,3,,,,,,TG0,
D,7595348030,右後黑絕緣貼膠,3,,,,,,TG0,
D,7575578010,右前門窗後框條,3,,,,,,TG0,
D,6785733080,尾門護板,3,,,,,,TG0,
A,687600D030,左上後車門鉸鏈,2,Y,,,,,KG0,E502
A,53420BZ090,引擎蓋左鉸鏈,2,Y,,,,,KG0,B601
N,PZ06142754,前停車雷達眼(含防干擾銅罩)-珍珠白,3,,,,,,NI2,NI54
A,4881528190,平衡桿橡皮,3,,,,,,TG0,
D,6294012200,葉子板通風導管總成,3,,,,,,TG0,
A,676630A020,門框飾板,2,Y,,,,,KG0,S913
C,SL72301010,墊片,2,Y,,,,,HG0,
A,8173102120,方向燈燈殼,2,Y,,,,,TG0,
A,112980T391,廢氣控制標示牌,2,Y,,,,,KG0,T017
A,9004A16084,螺栓,2,Y,,,,,PG1,TAM
A,9054115037,襯墊,2,Y,,,,,TG0,
A,9046721152,通風管束夾,2,Y,,,,,TG0,T009
D,9010508504,螺栓,3,,,,,,TG0,
A,9030122019,O形環,2,Y,,,,,TG0,
C,S1793E0020,螺栓,2,Y,,,,,HG0,
A,77024F4020,燃油芯,3,,,,,,TG0,TME
A,177010M080,空氣濾清器外殼次總成,3,,,,,,KG0,T015
A,52575BZ080,後保險桿右側固定座,3,,,,,,KG0,J004
A,52127BZD60,保險桿孔蓋,3,,,,,,KG0,F601
A,52462BZ140,保險桿襯墊,3,,,,,,PG1,
A,815800D170,右後霧燈總成,3,,,,,,KG0,D401
D,9091901210,火星塞,2,Y,,,,,DG0,
D,5256678020,左下後保險桿固定座,3,,,,,,TG0,
A,9091602728,風扇V形皮帶,3,,,,,,TG0,
A,524720M010,保險桿末端加強板,3,,,,,,KG0,J004
A,534200M030,引擎蓋左鉸鏈,2,,,,,,KG0,B601
D,8710648170,空調風箱伺服器次總成,3,,,,,,TG0,
C,81480F1010,後霧燈總成,3,,,,,,KG0,D401
A,4245042040,軸輪轂軸承,3,,,,,,TG0,
G,SZ92034335,冷卻水旁通軟管,3,,,,,,TG0,
A,90119T0390,螺栓,2,Y,,,,,PG1,
A,9091602739,風扇V形皮帶,3,,,,,,TG0,
A,9046706165C0,固定扣,2,Y,,,,,TG0,
A,532860D360,水箱總成密封墊,3,,,,,,KG0,S913
A,8999730070,電子鑰匙天線,3,,,,,,TG0,
D,8791548100C0,右後視鏡外殼,3,,,,,,TG0,
A,5611774010,後擋墊塊,3,,,,,,TG0,
C,8533237051,噴水桶蓋,3,,,,,,HG0,
A,521970D030,保險桿密封支架,2,Y,,,,,KG0,T023
D,1717631090,進氣穩壓筒墊圈,3,,,,,,TG0,
A,165350D150,水箱總成下支架,2,Y,,,,,KG0,Y501
A,9054106036,煞車燈開關襯墊,2,Y,,,,,TG0,
A,6861002280,前門限位器總成,3,,,,,,KG0,E502
A,687500D030,右上後車門鉸鏈,2,,,,,,KG0,E502
A,53510BZ100,引擎蓋鎖總成,3,,,,,,PG1,TAM
D,7597748050,黑絕緣貼膠,3,,,,,,TG0,
A,6920102360,門外把手座次總成,3,,,,,,KG0,E502
D,9097502228,車身徽飾,3,,,,,,TG0,
A,757660A020,左後門窗框後柱側飾條,3,,,,,,KG0,E502
A,4504649095,橫拉桿端頭次總成,3,,,,,,TG0,
C,4.23E+113,,3,,,,,,HG0,
A,1128537060,冷卻標示牌,2,Y,,,,,TG0,
A,9017808007,螺帽,2,Y,,,,,TG0,
A,9098011349,外殼,2,Y,,,,,TG0,
D,7543148031,車身徽飾,3,,,,,,TG0,
A,8872342070,冷氣維修標籤,2,Y,,,,,TG0,
G,3328235010,插銷,2,Y,,,,,TG0,
C,SL15010808,螺帽,2,Y,,,,,HG0,
A,6162802120,加強板,2,Y,,,,,KG0,L203
A,6925002050B3,門外把手飾蓋,2,Y,,,,,KG0,E502
A,9054109133,尾門襯墊,2,Y,,,,,TG0,
C,S479471230,閥門支桿,2,Y,,,,,HG0,
A,9017714007,避震器上座螺帽,3,,,,,,TG0,
D,4776948150,碟煞式煞車分泵滑動襯套,2,Y,,,,,TG0,
C,8197337010,護圈,2,Y,,,,,HG0,
G,9098206022,電瓶負極樁頭,2,Y,,,,,TG0,
A,887180D240,固定扣,2,Y,,,,,KG0,T015
A,1789322900,氣筒,3,,,,,,TG0,
U,HCG1225415B,HINO 舒跑,3,,,,,,YB,
D,1780128030,空氣芯,3,,,,,,TG0,
A,1636374370,風扇馬達,3,,,,,,TG0,T015
A,4333009220,下球形接頭總成,3,,,,,,PG1,
A,814800M010,右後霧燈總成,3,,,,,,KG0,D401
C,3140137011,離合器總泵,3,,,,,,HG0,
A,879400A090,後視鏡總成,3,,,,,,KG0,J002
D,5310533010,右水箱護罩飾條次總成,3,,,,,,TG0,
D,8148276070,左霧燈蓋,3,,,,,,TG0,
A,757450A020,右後門車身下護條,3,,,,,,KG0,J004
A,9008094183,後煞車軟管,3,,,,,,KG0,T009
A,4860906220,避震器上座,3,,,,,,KG0,Y501
A,4806942060,左前下懸吊臂,2,,,,,,TG0,
A,1237128190,後引擎腳,2,,,,,,TG0,
A,6903002580,六角鎖總成,3,,,,,,KG0,E502
A,04465BZ280,前碟煞蹄片組,3,,,,,,PG1,TAM
A,274150W021,發電機皮帶盤,3,,,,,,TG0,T015
D,8791548080B0,右後視鏡外殼,3,,,,,,TG0,
A,5253542021,保險桿側固定座,3,,,,,,TG0,
6,C37H806C54,電鍍飾片(L),3,,,,,,NI2,
A,5257606040,後保險桿左側固定座,3,,,,,,KG0,T023
A,753010D090,徽飾總成,3,,,,,,KG0,F601
A,52156BZ070,後保險桿左支架,3,,,,,,PG1,TAM
A,8999742010,電子鑰匙天線,3,,,,,,TG0,
6,C07C442E54,中段線,2,Y,,,,,NI2,
D,5256778010,保險桿側固定座,3,,,,,,TG0,
A,754420D031,行李廂車型銘牌,3,,,,,,KG0,F601
A,8264133150,整合繼電器,3,,,,,,KG0,Z006
A,687800D030,左下後車門鉸鏈,2,Y,,,,,KG0,E502
A,5246206170,保險桿墊塊,3,,,,,,KG0,J004
A,112980T790,廢氣控制標示牌,2,Y,,,,,KG0,T017
A,486820D200,固定架,3,,,,,,PG1,
A,887180D790,固定扣,2,Y,,,,,KG0,T015
C,SZ30119015,O型環,2,Y,,,,,HG0,
A,52143BZ040,保險桿側支架,3,,,,,,PG1,TAM
A,9095001604,行李廂蓋孔塞,2,Y,,,,,TG0,
A,8934160060A1,車距感知器,2,Y,,,,,TG0,
A,9018904059,墊圈,2,Y,,,,,TG0,
G,9097502177,徽飾總成,2,Y,,,,,TG0,
A,5575402220,外蓋,2,Y,,,,,KG0,S913
A,7549535010,擋風玻璃外飾條固定扣,2,Y,,,,,KG0,F601
A,9017906274,螺帽,2,Y,,,,,TG0,
A,5345202100,引擎蓋支撐桿固定架,2,Y,,,,,KG0,T023
A,7512913020,牌照框襯墊,2,Y,,,,,TG0,
A,8934160060C5,車距感知器,2,Y,,,,,TG0,
A,163250C030,進水管墊片,2,Y,,,,,PG1,TAM
D,5212833919,保險桿孔蓋,2,Y,,,,,TG0,
A,112980T260,廢氣控制標示牌,2,Y,,,,,KG0,T017
A,11293BZ870,風扇警示標籤,2,Y,,,,,PG1,TAM
D,9010508448,螺栓,2,Y,,,,,TG0,
A,9018305040,螺絲,2,Y,,,,,TG0,J004
A,525910D410,後保險桿右密封板,3,,,,,,KG0,F601
U,HCG1225409B,雀巢檸檬茶,3,,,,,,220,
A,8934133130C0,車距感知器,3,,,,,,KG0,T015
A,52127BZD50C0,保險桿孔蓋,3,,,,,,KG0,F601
A,87945BZ830,視鏡外殼,3,,,,,,KG0,J002
A,53410BZ090,引擎蓋右鉸鏈,2,,,,,,KG0,B601
A,9004189079,螺絲墊圈,2,Y,,,,,TG0,
A,90333T0004,孔塞,2,Y,,,,,PG1,
A,52139BZ100,拉條,2,,,,,,PG1,TAM
N,P74030D008,後輪拱-後半段(右),3,,,,,,NI2,
N,P738842005,中支架(右),3,,,,,,NI2,
A,4881520060,平衡桿橡皮,3,,,,,,KG0,T009
N,9.01E+11,,3,,,,,,NB3,
A,5212806400,左前保險桿孔蓋,3,,,,,,KG0,J004
D,7595378010,黑絕緣貼膠,3,,,,,,TG0,
D,7597778010,黑絕緣貼膠,3,,,,,,TG0,
A,123710M011,後引擎腳,3,,,,,,KG0,Y501
A,161730H010,水泵皮帶盤,2,,,,,,KG0,B601
N,P76344200T,LH CAMERA,3,,,,,,NI2,
N,90083222483,24V 燈泡,2,Y,,,,,NH0,
D,8791078441,後視鏡總成,3,,,,,,TG0,
A,5872342020,護板,3,,,,,,TG0,
A,5253642021,前保險桿左側固定座,3,,,,,,TG0,
A,5215542030,後保險桿右支架,3,,,,,,TG0,
A,521270D912,前保險桿孔蓋,3,,,,,,KG0,J004
D,5253648040,前保險桿左側固定座,3,,,,,,TG0,
A,9052177001,軸轂扣環,2,Y,,,,,TG0,
A,852420D090,雨刷片,3,,,,,,PG1,TAM
A,532880D240,水箱總成左支架延伸片,3,,,,,,KG0,J004
G,9003116069,岐管螺栓,2,Y,,,,,TG0,
A,5389642060,左前擋泥板,3,,,,,,TG0,
A,171770C010,進氣岐管墊片,3,,,,,,PG1,
A,5312802350,下護罩板,3,,,,,,KG0,F601
A,5257552180,後保險桿右側固定座,3,,,,,,TG0,
A,85212F4011,雨刷片,3,,,,,,TG0,
A,5835102080,備胎支架,2,Y,,,,,KG0,S920
A,4333049225,下球形接頭總成,3,,,,,,TG0,
A,5381402210,左前葉子板接片,2,Y,,,,,KG0,S909
A,6861002370,前車門限位器,3,,,,,,KG0,E502
N,89348YY090,頭蓋(雲河灰),3,,,,,,NI2,
A,6011742031,柱上蓋,3,,,,,,TG0,
A,9010506325,螺栓,2,Y,,,,,TG0,
D,5246176010,保險桿襯墊,2,Y,,,,,TG0,
C,SN73210493,O形環,2,Y,,,,,HG0,
A,9054109125,尾門襯墊,2,Y,,,,,TG0,
A,1679311010,風扇警示標籤,3,,,,,,KG0,T017
D,9155110816,螺栓,2,Y,,,,,TG0,
A,9094702G08,後煞車軟管,3,,,,,,TG0,
A,163250C021,進水口墊片,2,Y,,,,,PG1,UMW
A,1756528010,排氣尾管吊耳,2,Y,,,,,TG0,
A,9018306031,頭燈彈簧螺帽,2,Y,,,,,TG0,
A,1745124020,排氣尾管墊片,2,Y,,,,,TG0,
D,6786933030,防水膠條固定扣,2,Y,,,,,TG0,
A,7736030070,加油口蓋開啟彈簧,2,Y,,,,,TG0,
A,9046708011,引擎蓋前密封橡皮夾扣,2,Y,,,,,KG0,T009
