frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
U,WPT040020L,TOYOTA損品標籤紙捲,2,,,,,,2928,
U,HCG1225406B,HINO方塊酥,3,,,,,,XBA,
A,678810K020,尾門防水膠條,3,,,,,,KG0,T009
A,4815706111,圈狀彈簧防塵套,3,,,,,,KG0,Y501
A,338200D500,變速箱控制拉索總成,3,,,,,,PG1,
A,5259102430,後葉密封墊，右,3,,,,,,KG0,F601
A,815600A091,組合燈總成,3,,,,,,KG0,D401
A,678810M010,尾門防水膠條,3,,,,,,KG0,T009
A,815510DD90,組合燈殼,3,,,,,,KG0,D401
D,4882028050,平衡桿連桿總成,3,,,,,,TG0,
D,7702448120,燃油芯,3,,,,,,TG0,
A,7710312160,燃油杯,3,,,,,,TG0,
O,400983658,,4,,,,,,TG0,
F,1161208960T,加熱器芯子,2,,,,,,DG0,
A,8850106331,冷氣機蒸發器,3,,,,,,KG0,T015
A,6787202050,左後門防水膠條,3,,,,,,KG0,T009
A,451000Z380C0,方向盤總成,3,,,,,,KG0,F601
C,879060W160,左照後鏡總成,3,,,,,,HG0,
V,CYG04,棉紗手套,3,,,,,,NCC,
D,7702433340,燃油芯,3,,,,,,TG0,
A,815600A081,組合燈總成,3,,,,,,KG0,D401
A,1120128033,汽門搖臂蓋次總成,3,,,,,,TG0,
D,7702433420,燃油芯,3,,,,,,TG0,
A,177510T160,空氣濾清器進氣導管,3,,,,,,KG0,F601
D,7702433510,燃油濾清器含固定板,3,,,,,,TG0,
D,7702433321,燃油芯,3,,,,,,TG0,
A,6788168010,尾門防水膠條,3,,,,,,KG0,T009
D,4351248130,前煞車碟盤,2,,,,,,TG0,
N,CYG04,棉紗手套,3,,,,,,NCC,
C,23304EV233,燃油濾清器濾芯,3,,,,,,HG0,
A,7702452122,燃油芯,3,,,,,,TG0,
D,8847412010,冷媒乾燥器,3,,,,,,TG0,
C,S178013391,空氣濾清器濾芯,3,,,,,,HG0,
N,20CA5031,A2擦拭布,3,,,,,,NCE,
A,4333049215,下球形接頭總成,3,,,,,,TG0,
A,233000M010,燃油濾清器,3,,,,,,KG0,C306
N,15607219083,機油芯,2,,,,,,HN1,
A,4882033070,平衡桿連桿總成,3,,,,,,TG0,
A,165720T120,水箱總成軟管,3,,,,,,KG0,T009
A,178010D030,空氣芯,3,,,,,,KG0,T015
D,1780177050,空氣芯,3,,,,,,TG0,
A,87139YZZ59,A/C濾網,3,,,,,,DG0,
A,7710342090,燃油芯濾網,3,,,,,,TG0,
A,8211A02030,線束,3,,,,,,KG0,T002
A,7710342080,燃油芯濾網,3,,,,,,TG0,
A,9091602679,風扇V形皮帶,3,,,,,,TG0,
A,87139YZZ62,A/C濾網,3,,,,,,DG0,
A,04465YZZT8,前煞車來令片組,3,,,,,,PG1,
A,9091901275,火星塞,2,Y,,,,,DG0,
N,200008HDBG,煞車異音防止劑,2,Y,,,,,NC4,
6,C8HC800N51,臭氧負離子空氣清淨機主機,3,,,,,,NI2,
A,481312T250,圈狀彈簧,4,,,,,,KG0,J003
A,8162138010,左車幅位置燈殼,4,,,,,,KG0,D401
N,82131H67G0,線組,4,,,,,,NGQ,
A,7662216150,左前輪擋泥板,2,,,,,,KG0,F601
A,5591016240,空調控制器總成,2,,,,,,KG0,L205
C,47441E0720,煞車來令片,4,,,,,,HG0,
N,1802CS0020,輪胎氣嘴芯,4,Y,,,,,HI1,
L,PZ07100A391A,單碟CD音響,4,,,,,,PG1,
F,TWY140200110T,鼓風機總成,4,,,,,,DG0,
C,1.66E+74,,2,,,,,,KG0,T009
U,WBS011706HH,水箱葉子板護罩全組,3,,,,,,XHH,
A,6787102050,右後門防水膠條,3,,,,,,KG0,T009
A,5144202420,引擎下護板,3,,,,,,KG0,H807
